SampleID,Land_Use,Date,Season,Land_Season,Ecoli_MPN,LOG_Ecoli,Coliform_MPN,LOG_Coliform,pH,Conductivity,TDS,Temperature,DissolvedO2,Turbidity,Hardness
MF-W2,Mature_Forest,9/9/19,Wet,Mature_Forest_Wet,0.5,0.176091259,260,2.416640507,6.6,0.19,71,26.9,7.48,1.74,25
MF-W3,Mature_Forest,1/28/19,Dry,Mature_Forest_Dry,270,2.432969291,6896,3.838660226,6.8,0.5,125,24,,3.71,25
MF-W3,Mature_Forest,2/11/19,Dry,Mature_Forest_Dry,40,1.612783857,9222,3.964872209,6.8,0.29,75,24.8,6.8,0.43,
MF-W3,Mature_Forest,2/25/19,Dry,Mature_Forest_Dry,0.5,0.176091259,11588,4.064045963,7,0.27,110,24.9,,0.4,
MF-W3,Mature_Forest,3/19/19,Dry,Mature_Forest_Dry,456,2.6599162,4764,3.678062905,6.6,0.34,157,25.9,6.83,2.33,50
MF-W3,Mature_Forest,4/1/19,Dry,Mature_Forest_Dry,82,1.919078092,6260,3.796643704,6.5,0.32,85,25.8,,2.37,25
MF-W3,Mature_Forest,4/15/19,Dry,Mature_Forest_Dry,2238,3.350054094,16328,4.212959589,,0.42,192,26,,1.37,50
MF-W3,Mature_Forest,4/29/19,Dry,Mature_Forest_Dry,346,2.540329475,16328,4.212959589,6.8,0.8,95,25,,1.48,
MF-W3,Mature_Forest,5/20/19,Wet,Mature_Forest_Wet,40,1.612783857,4718,3.673849977,7,0.6,112,24.6,5.95,0.83,25
MF-W3,Mature_Forest,6/3/19,Wet,Mature_Forest_Wet,0.5,0.176091259,82,1.919078092,6.6,0.43,192,25.2,3.55,4.49,50
MF-W3,Mature_Forest,6/17/19,Wet,Mature_Forest_Wet,40,1.612783857,1340,3.127428778,7,0.62,120,25,6.04,1.93,25
MF-W3,Mature_Forest,7/9/19,Wet,Mature_Forest_Wet,0.5,0.176091259,40,1.612783857,7,0.29,192,25.4,5.14,0.01,120
MF-W3,Mature_Forest,7/23/19,Wet,Mature_Forest_Wet,126,2.103803721,9222,3.964872209,6.9,0.26,94,26.7,7.26,3.37,25
MF-W3,Mature_Forest,8/30/19,Wet,Mature_Forest_Wet,852,2.930949031,34658,4.539816028,7.1,0.11,70,24.8,7.87,3.6,25
MF-W3,Mature_Forest,9/11/19,Wet,Mature_Forest_Wet,40,1.612783857,8212,3.914501823,6.8,0.2,36,25.9,7.37,2.63,25
MF-AS,Mature_Forest,11/8/18,Wet,Mature_Forest_Wet,146,2.167317335,22398,4.35022863,6.8,0.19,72,25.7,7.74,2.1,50
MF-AS,Mature_Forest,11/29/18,Wet,Mature_Forest_Wet,40,1.612783857,2878,3.459241665,7.7,0.18,135,25,7.23,12.49,50
MF-AS,Mature_Forest,12/12/18,Wet,Mature_Forest_Wet,220,2.344392274,28272,4.451371893,7.2,0.22,103,24.9,7.37,2.5,25
MF-AS,Mature_Forest,12/13/18,Dry,Mature_Forest_Dry,196,2.294466226,25994,4.414889822,6.7,0.2,72,25.1,,2.35,50
MF-AS,Mature_Forest,1/10/19,Dry,Mature_Forest_Dry,216,2.336459734,22398,4.35022863,7.6,0.21,153,25,,5.16,120
MF-AS,Mature_Forest,1/31/19,Dry,Mature_Forest_Dry,240,2.382017043,9222,3.964872209,7.6,0.23,194,23.4,5.87,0.9,
MF-AS,Mature_Forest,2/14/19,Dry,Mature_Forest_Dry,456,2.6599162,17328,4.238773502,7.3,0.21,152,24.5,,5.15,
MF-AS,Mature_Forest,2/28/19,Dry,Mature_Forest_Dry,292,2.46686762,17328,4.238773502,7,0.22,120,24.3,,5.6,250
MF-AS,Mature_Forest,3/14/19,Dry,Mature_Forest_Dry,218,2.340444115,48392,4.684782546,7,0.22,115,24.5,,3.25,120
MF-AS,Mature_Forest,3/28/19,Dry,Mature_Forest_Dry,104,2.021189299,10344,4.014730495,7.3,0.22,161,24.5,5.77,3.44,250
MF-AS,Mature_Forest,4/11/19,Dry,Mature_Forest_Dry,0.5,0.176091259,12976,4.113174305,7.1,0.18,137,24.4,4.61,1.93,50
MF-AS,Mature_Forest,4/25/19,Dry,Mature_Forest_Dry,62,1.799340549,3300,3.518645524,7.3,0.17,126,24.3,4.52,0.47,120
MF-AS,Mature_Forest,5/9/19,Dry,Mature_Forest_Dry,220,2.344392274,48392,4.684782546,6.5,0.24,150,25.6,4.89,7.7,120
MF-AS,Mature_Forest,5/30/19,Dry,Mature_Forest_Dry,0.5,0.176091259,216,2.336459734,6.5,0.35,170,25.7,4.46,3.1,50
MF-AS,Mature_Forest,6/13/19,Wet,Mature_Forest_Wet,322,2.509202522,20924,4.320665467,5.9,0.35,125,25.2,6.02,1.1,120
MF-AS,Mature_Forest,6/27/19,Wet,Mature_Forest_Wet,370,2.56937391,14540,4.162594274,6.5,0.18,94,25.1,6.57,0.42,50
MF-AS,Mature_Forest,7/12/19,Wet,Mature_Forest_Wet,1976,3.296006669,24066,4.381421958,6.9,0.17,117,25.7,7.51,17.85,50
MF-AS,Mature_Forest,7/25/19,Wet,Mature_Forest_Wet,148,2.173186268,28272,4.451371893,6.9,0.26,195,24.8,8.13,2.55,50
MF-AS,Mature_Forest,8/1/19,Wet,Mature_Forest_Wet,168,2.227886705,48400,4.684854335,6.9,0.17,110,26.1,6.48,0.98,50
MF-AS,Mature_Forest,8/28/19,Wet,Mature_Forest_Wet,240,2.382017043,18416,4.265218888,7.1,0.2,150,28.1,7.12,2.26,120
